DrugBank_ID,DB00184,DB00191,DB00201,DB00204,DB00222,DB00228,DB00232,DB00237,DB00252,DB00270,DB00273,DB00280,DB00281,DB00292,DB00296,DB00297,DB00308,DB00312,DB00318,DB00321,DB00343,DB00347,DB00349,DB00350,DB00356,DB00357,DB00358,DB00363,DB00370,DB00379,DB00381,DB00393,DB00401,DB00404,DB00422,DB00434,DB00436,DB00455,DB00472,DB00474,DB00502,DB00514,DB00543,DB00555,DB00564,DB00565,DB00593,DB00594,DB00623,DB00628,DB00657,DB00661,DB00669,DB00674,DB00679,DB00683,DB00690,DB00695,DB00715,DB00721,DB00726,DB00728,DB00731,DB00740,DB00750,DB00753,DB00754,DB00774,DB00776,DB00794,DB00807,DB00808,DB00818,DB00829,DB00831,DB00839,DB00842,DB00880,DB00889,DB00904,DB00907,DB00908,DB00909,DB00912,DB00934,DB00949,DB00960,DB00961,DB00962,DB00987,DB00988,DB00990,DB00996,DB00997,DB00999,DB01002,DB01006,DB01016,DB01023,DB01025,DB01026,DB01046,DB01067,DB01069,DB01082,DB01086,DB01100,DB01104,DB01115,DB01118,DB01119,DB01120,DB01124,DB01151,DB01161,DB01182,DB01189,DB01195,DB01202,DB01205,DB01217,DB01219,DB01223,DB01233,DB01236,DB01244,DB09085,DB13867
DB00184,1.0,0.13658536585365855,0.06086956521739131,0.14883720930232558,0.2054263565891473,0.030456852791878174,0.07692307692307693,0.1111111111111111,0.1941031941031941,0.2543103448275862,0.20833333333333334,0.18823529411764706,0.213768115942029,0.04522613065326633,0.19883040935672514,0.17549668874172186,0.04950495049504951,0.11,0.24472573839662448,0.19924812030075187,0.25146198830409355,0.10267857142857142,0.16996047430830039,0.07075471698113207,0.06217616580310881,0.07317073170731707,0.2454212454212454,0.21483375959079284,0.23963133640552994,0.24050632911392406,0.3053435114503817,0.125,0.25461254612546125,0.31189710610932475,0.24343675417661098,0.1822429906542056,0.047619047619047616,0.2463768115942029,0.20098039215686275,0.11055276381909548,0.15894039735099338,0.11794871794871795,0.20647773279352227,0.25396825396825395,0.18510158013544017,0.041666666666666664,0.13043478260869565,0.16101694915254236,0.09727626459143969,0.07772020725388601,0.06,0.21804511278195488,0.23284823284823286,0.2619047619047619,0.10852713178294573,0.2032258064516129,0.18055555555555555,0.15483870967741936,0.17877906976744187,0.1291866028708134,0.17695473251028807,0.07462686567164178,0.12682926829268293,0.19238476953907815,0.13168724279835392,0.06511627906976744,0.07614213197969544,0.06635071090047394,0.2622107969151671,0.08450704225352113,0.01,0.25513196480938416,0.2181208053691275,0.23823529411764705,0.11678832116788321,0.0825242718446602,0.10047846889952153,0.08333333333333333,0.24110671936758893,0.20676691729323307,0.03684210526315789,0.17737003058103976,0.21866666666666668,0.15137614678899083,0.2150170648464164,0.21212121212121213,0.2579185520361991,0.14953271028037382,0.24083769633507854,0.17270194986072424,0.05025125628140704,0.23715415019762845,0.21025641025641026,0.1909722222222222,0.2357142857142857,0.18253968253968253,0.21843003412969283,0.1388888888888889,0.25957446808510637,0.047619047619047616,0.1984732824427481,0.2374429223744292,0.22784810126582278,0.1510204081632653,0.04950495049504951,0.05759162303664921,0.15671641791044777,0.2389558232931727,0.28212290502793297,0.15691489361702127,0.14107883817427386,0.23433242506811988,0.043689320388349516,0.16796875,0.115,0.20843091334894615,0.14963503649635038,0.23333333333333334,0.24918032786885247,0.23109243697478993,0.21428571428571427,0.19008264462809918,0.1409090909090909,0.1348314606741573,0.1821561338289963,0.20276497695852536,0.07729468599033816,0.20938628158844766
DB00191,0.13658536585365855,1.0,0.07,0.2087912087912088,0.16,0.03125,0.12222222222222222,0.1527777777777778,0.07716049382716049,0.2222222222222222,0.05945945945945946,0.1527777777777778,0.10614525139664804,0.04411764705882353,0.0963855421686747,0.09547738693467336,0.08695652173913043,0.14864864864864866,0.1791044776119403,0.1592356687898089,0.10646387832699619,0.0891089108910891,0.16058394160583941,0.0975609756097561,0.0967741935483871,0.10666666666666667,0.12777777777777777,0.10097719869706841,0.08967391304347826,0.18045112781954886,0.1388888888888889,0.1276595744680851,0.11538461538461539,0.10612244897959183,0.09714285714285714,0.23404255319148937,0.12162162162162163,0.2222222222222222,0.06216696269982238,0.09090909090909091,0.12105263157894737,0.24615384615384617,0.21052631578947367,0.09473684210526316,0.08379888268156424,0.03278688524590164,0.1388888888888889,0.19130434782608696,0.0661764705882353,0.18333333333333332,0.11940298507462686,0.18354430379746836,0.06542056074766354,0.125,0.09558823529411764,0.12380952380952381,0.18,0.07281553398058252,0.05642633228840126,0.13793103448275862,0.23140495867768596,0.0821917808219178,0.175,0.08018867924528301,0.104,0.08235294117647059,0.171875,0.14285714285714285,0.08256880733944955,0.11904761904761904,0.0,0.10227272727272728,0.13,0.1225296442687747,0.10457516339869281,0.13157894736842105,0.13414634146341464,0.12244897959183673,0.16447368421052633,0.12883435582822086,0.09090909090909091,0.10714285714285714,0.10726643598615918,0.1875,0.16489361702127658,0.10583941605839416,0.21551724137931033,0.14736842105263157,0.09061488673139159,0.07984790874524715,0.1076923076923077,0.1503267973856209,0.06529850746268656,0.05576923076923077,0.14207650273224043,0.10273972602739725,0.14583333333333334,0.10294117647058823,0.17777777777777778,0.05172413793103448,0.12025316455696203,0.16521739130434782,0.14925373134328357,0.16,0.07142857142857142,0.06557377049180328,0.13071895424836602,0.07623318385650224,0.09523809523809523,0.09157509157509157,0.12195121951219512,0.10877192982456141,0.09859154929577464,0.208955223880597,0.11688311688311688,0.08908045977011494,0.09876543209876543,0.18072289156626506,0.10909090909090909,0.19083969465648856,0.13402061855670103,0.16153846153846155,0.1875,0.14482758620689656,0.11728395061728394,0.21568627450980393,0.13157894736842105,0.07608695652173914
DB00201,0.06086956521739131,0.07,1.0,0.05217391304347826,0.08187134502923976,0.013157894736842105,0.07692307692307693,0.056179775280898875,0.08108108108108109,0.0784313725490196,0.0564373897707231,0.05357142857142857,0.07731958762886598,0.0379746835443038,0.055762081784386616,0.08018867924528301,0.03614457831325301,0.054945054945054944,0.08333333333333333,0.03763440860215054,0.06338028169014084,0.04310344827586207,0.0759493670886076,0.08602150537634409,0.05333333333333334,0.044444444444444446,0.08629441624365482,0.054380664652567974,0.05370843989769821,0.05,0.10204081632653061,0.11428571428571428,0.04390243902439024,0.07224334600760456,0.07629427792915532,0.058333333333333334,0.03296703296703297,0.09090909090909091,0.04819277108433735,0.04395604395604396,0.07692307692307693,0.09523809523809523,0.04242424242424243,0.0728643216080402,0.07258064516129033,0.04225352112676056,0.08064516129032258,0.06474820143884892,0.05405405405405406,0.05128205128205128,0.023809523809523808,0.07027027027027027,0.04708520179372197,0.09375,0.03225806451612903,0.060085836909871244,0.04878048780487805,0.07407407407407407,0.04420731707317073,0.06796116504854369,0.03896103896103896,0.058823529411764705,0.09375,0.07322654462242563,0.04929577464788732,0.05102040816326531,0.023809523809523808,0.05319148936170213,0.07988165680473373,0.06060606060606061,0.02702702702702703,0.06713780918727916,0.06756756756756757,0.06498194945848375,0.07142857142857142,0.031914893617021274,0.04,0.06140350877192982,0.08670520231213873,0.07734806629834254,0.04411764705882353,0.09282700421940929,0.08169934640522876,0.09649122807017543,0.07476635514018691,0.05016722408026756,0.05555555555555555,0.07142857142857142,0.057750759878419454,0.09665427509293681,0.0375,0.07471264367816093,0.06204379562043796,0.06060606060606061,0.06280193236714976,0.03614457831325301,0.0947867298578199,0.06622516556291391,0.055900621118012424,0.02857142857142857,0.056179775280898875,0.07407407407407407,0.06451612903225806,0.04697986577181208,0.04878048780487805,0.05555555555555555,0.05747126436781609,0.0536480686695279,0.06389776357827476,0.04040404040404041,0.06428571428571428,0.0756578947368421,0.03488372093023256,0.03592814371257485,0.043010752688172046,0.07734806629834254,0.09883720930232558,0.08947368421052632,0.0759493670886076,0.056962025316455694,0.05963302752293578,0.08,0.07758620689655173,0.059880239520958084,0.11627906976744186,0.06299212598425197,0.043010752688172046,0.07731958762886598
DB00204,0.14883720930232558,0.2087912087912088,0.05217391304347826,1.0,0.16770186335403728,0.03896103896103896,0.07476635514018691,0.15476190476190477,0.1033434650455927,0.23529411764705882,0.05799648506151142,0.18421052631578946,0.13368983957219252,0.04938271604938271,0.15261044176706828,0.13725490196078433,0.18666666666666668,0.1511627906976744,0.12418300653594772,0.15976331360946747,0.1553030303030303,0.0782608695652174,0.0880503144654088,0.061224489795918366,0.05128205128205128,0.06593406593406594,0.14210526315789473,0.12460063897763578,0.10962566844919786,0.1875,0.16489361702127658,0.12149532710280374,0.16666666666666666,0.10465116279069768,0.12112676056338029,0.13043478260869565,0.06593406593406594,0.19469026548672566,0.09285714285714286,0.07692307692307693,0.0861244019138756,0.06741573033707865,0.1437908496732026,0.10824742268041238,0.09536784741144415,0.04054054054054054,0.0703125,0.1889763779527559,0.06,0.0759493670886076,0.08536585365853659,0.21818181818181817,0.10328638497652583,0.1643192488262911,0.10135135135135136,0.07758620689655173,0.168141592920354,0.06818181818181818,0.07668231611893583,0.16494845360824742,0.13986013986013987,0.08139534883720931,0.17391304347826086,0.12114014251781473,0.14285714285714285,0.09278350515463918,0.1125,0.07368421052631578,0.09850746268656717,0.08,0.01282051282051282,0.14232209737827714,0.17073170731707318,0.12878787878787878,0.10240963855421686,0.05263157894736842,0.12631578947368421,0.06896551724137931,0.22435897435897437,0.16470588235294117,0.0,0.1391304347826087,0.12837837837837837,0.19626168224299065,0.14215686274509803,0.11228070175438597,0.2204724409448819,0.20588235294117646,0.10725552050473186,0.10780669144981413,0.11688311688311688,0.1875,0.0893854748603352,0.08477842003853564,0.18617021276595744,0.19863013698630136,0.16417910447761194,0.10810810810810811,0.2013888888888889,0.056338028169014086,0.10404624277456648,0.1935483870967742,0.19148936170212766,0.11971830985915492,0.05952380952380952,0.05333333333333334,0.11976047904191617,0.08571428571428572,0.12,0.11428571428571428,0.15151515151515152,0.12244897959183673,0.033707865168539325,0.1503267973856209,0.14942528735632185,0.11647727272727272,0.12280701754385964,0.17318435754189945,0.10256410256410256,0.14093959731543623,0.17587939698492464,0.12244897959183673,0.13274336283185842,0.1320754716981132,0.13372093023255813,0.3269230769230769,0.07526881720430108,0.08163265306122448
DB00222,0.2054263565891473,0.16,0.08187134502923976,0.16770186335403728,1.0,0.043478260869565216,0.17763157894736842,0.13380281690140844,0.16348773841961853,0.25405405405405407,0.13651877133105803,0.2019704433497537,0.15,0.04929577464788732,0.16611295681063123,0.1607843137254902,0.06993006993006994,0.13194444444444445,0.20408163265306123,0.24401913875598086,0.19805194805194806,0.15337423312883436,0.22164948453608246,0.09803921568627451,0.07352941176470588,0.14184397163120568,0.22707423580786026,0.19540229885057472,0.18271604938271604,0.23684210526315788,0.2412280701754386,0.15723270440251572,0.18565400843881857,0.22456140350877193,0.203125,0.29333333333333333,0.09523809523809523,0.20606060606060606,0.14965986394557823,0.11724137931034483,0.2024793388429752,0.1357142857142857,0.26455026455026454,0.1932367149758454,0.21038961038961038,0.05223880597014925,0.19642857142857142,0.21468926553672316,0.115,0.12030075187969924,0.09285714285714286,0.23255813953488372,0.13859275053304904,0.2,0.18229166666666666,0.13768115942028986,0.21739130434782608,0.23045267489711935,0.13082706766917293,0.18791946308724833,0.22043010752688172,0.08275862068965517,0.20279720279720279,0.15517241379310345,0.14285714285714285,0.0759493670886076,0.0851063829787234,0.136986301369863,0.2,0.11688311688311688,0.0,0.22185430463576158,0.1471698113207547,0.2026578073089701,0.1875,0.22388059701492538,0.1554054054054054,0.175,0.2561576354679803,0.18018018018018017,0.045454545454545456,0.25868725868725867,0.19879518072289157,0.2,0.24267782426778242,0.20189274447949526,0.22346368715083798,0.1910828025477707,0.1527777777777778,0.15654952076677317,0.07142857142857142,0.19248826291079812,0.14664310954063603,0.15045871559633028,0.24782608695652175,0.18316831683168316,0.192,0.4161490683229814,0.24736842105263157,0.02962962962962963,0.20853080568720378,0.19101123595505617,0.3181818181818182,0.23204419889502761,0.09285714285714286,0.051470588235294115,0.21256038647342995,0.18471337579617833,0.2345679012345679,0.2090032154340836,0.15508021390374332,0.31333333333333335,0.2,0.21212121212121213,0.15492957746478872,0.18087855297157623,0.14285714285714285,0.23423423423423423,0.1794871794871795,0.23157894736842105,0.22131147540983606,0.25136612021857924,0.1566265060240964,0.1619047619047619,0.16143497757847533,0.23170731707317074,0.1232876712328767,0.104
DB00228,0.030456852791878174,0.03125,0.013157894736842105,0.03896103896103896,0.043478260869565216,1.0,0.04411764705882353,0.10416666666666667,0.032362459546925564,0.024793388429752067,0.012704174228675136,0.03816793893129771,0.05,0.10810810810810811,0.04291845493562232,0.056179775280898875,0.046511627906976744,0.1,0.05785123966942149,0.04827586206896552,0.023529411764705882,0.02564102564102564,0.04878048780487805,0.05263157894736842,0.0,0.10416666666666667,0.04216867469879518,0.047619047619047616,0.019230769230769232,0.049586776859504134,0.023391812865497075,0.0410958904109589,0.023668639053254437,0.029914529914529916,0.017241379310344827,0.075,0.06,0.05813953488372093,0.017921146953405017,0.125,0.028089887640449437,0.0851063829787234,0.03968253968253968,0.015789473684210527,0.028735632183908046,0.03125,0.02197802197802198,0.028846153846153848,0.036036036036036036,0.0,0.07142857142857142,0.03289473684210526,0.019138755980861243,0.030303030303030304,0.05309734513274336,0.03,0.03529411764705882,0.026881720430107527,0.017377567140600316,0.078125,0.05309734513274336,0.08888888888888889,0.03225806451612903,0.026378896882494004,0.058823529411764705,0.2916666666666667,0.07142857142857142,0.03571428571428571,0.022082018927444796,0.03225806451612903,0.0,0.023529411764705882,0.05945945945945946,0.02834008097165992,0.03731343283582089,0.01818181818181818,0.05,0.05263157894736842,0.05,0.0547945205479452,0.034482758620689655,0.0380952380952381,0.02112676056338028,0.037037037037037035,0.03278688524590164,0.03018867924528302,0.027777777777777776,0.0821917808219178,0.016556291390728478,0.02834008097165992,0.05,0.02097902097902098,0.013108614232209739,0.019646365422396856,0.03468208092485549,0.056451612903225805,0.016042780748663103,0.043478260869565216,0.032,0.03333333333333333,0.05755395683453238,0.0196078431372549,0.05084745762711865,0.045454545454545456,0.07142857142857142,0.0,0.02877697841726619,0.01809954751131222,0.02097902097902098,0.03076923076923077,0.038461538461538464,0.02877697841726619,0.02127659574468085,0.047619047619047616,0.09803921568627451,0.02046783625730994,0.08029197080291971,0.0375,0.023923444976076555,0.05,0.021505376344086023,0.08035714285714286,0.07692307692307693,0.03816793893129771,0.09420289855072464,0.03296703296703297,0.09803921568627451,0.01818181818181818
DB00232,0.07692307692307693,0.12222222222222222,0.07692307692307693,0.07476635514018691,0.17763157894736842,0.04411764705882353,1.0,0.1282051282051282,0.09597523219814241,0.14388489208633093,0.05892857142857143,0.11764705882352941,0.06842105263157895,0.013333333333333334,0.09881422924901186,0.07729468599033816,0.05263157894736842,0.125,0.12413793103448276,0.1402439024390244,0.13846153846153847,0.15,0.15492957746478872,0.10465116279069768,0.057971014492753624,0.1891891891891892,0.14917127071823205,0.11003236245954692,0.0797872340425532,0.14893617021276595,0.16022099447513813,0.12121212121212122,0.08333333333333333,0.099601593625498,0.09269662921348315,0.23469387755102042,0.2753623188405797,0.11504424778761062,0.07104795737122557,0.07228915662650602,0.14136125654450263,0.10256410256410256,0.16901408450704225,0.08785529715762273,0.11965811965811966,0.0625,0.19626168224299065,0.16393442622950818,0.11940298507462686,0.08571428571428572,0.15942028985507245,0.1566265060240964,0.059770114942528735,0.11682242990654206,0.14925373134328357,0.06637168141592921,0.14953271028037382,0.24861878453038674,0.06259780907668232,0.09473684210526316,0.15789473684210525,0.07692307692307693,0.13793103448275862,0.08685446009389672,0.06716417910447761,0.0898876404494382,0.15942028985507245,0.7222222222222222,0.10802469135802469,0.13793103448275862,0.0,0.20816326530612245,0.08450704225352113,0.11153846153846154,0.16778523489932887,0.16666666666666666,0.16666666666666666,0.796875,0.1518987341772152,0.09883720930232558,0.04838709677419355,0.16055045871559634,0.09060402684563758,0.21428571428571427,0.13131313131313133,0.11191335740072202,0.10606060606060606,0.11764705882352941,0.07886435331230283,0.11583011583011583,0.04054054054054054,0.12422360248447205,0.06273062730627306,0.07782101167315175,0.3128834355828221,0.11409395973154363,0.10294117647058823,0.19230769230769232,0.1310344827586207,0.047619047619047616,0.1592356687898089,0.13008130081300814,0.17777777777777778,0.1450381679389313,0.17647058823529413,0.07692307692307693,0.1337579617834395,0.0801781737193764,0.11986301369863013,0.12222222222222222,0.1721311475409836,0.09931506849315068,0.136986301369863,0.14383561643835616,0.0963855421686747,0.0847457627118644,0.06395348837209303,0.13559322033898305,0.10666666666666667,0.08783783783783784,0.10837438423645321,0.16417910447761194,0.13333333333333333,0.09615384615384616,0.10714285714285714,0.12173913043478261,0.0963855421686747,0.0797872340425532
DB00237,0.1111111111111111,0.1527777777777778,0.056179775280898875,0.15476190476190477,0.13380281690140844,0.10416666666666667,0.1282051282051282,1.0,0.08737864077669903,0.14634146341463414,0.045454545454545456,0.15037593984962405,0.13496932515337423,0.13725490196078433,0.12554112554112554,0.13259668508287292,0.14814814814814814,0.9459459459459459,0.1885245901639344,0.1342281879194631,0.0859375,0.0898876404494382,0.15873015873015872,0.06944444444444445,0.12244897959183673,0.16666666666666666,0.1242603550295858,0.08333333333333333,0.07479224376731301,0.18032786885245902,0.11627906976744186,0.10714285714285714,0.11764705882352941,0.1072961373390558,0.069164265129683,0.21176470588235294,0.1111111111111111,0.22727272727272727,0.06170598911070781,0.14516129032258066,0.0989010989010989,0.21428571428571427,0.16535433070866143,0.07180851063829788,0.08069164265129683,0.1111111111111111,0.1111111111111111,0.13761467889908258,0.1,0.20833333333333334,0.12727272727272726,0.12987012987012986,0.04976303317535545,0.12755102040816327,0.13333333333333333,0.14358974358974358,0.25,0.08333333333333333,0.044233807266982623,0.2463768115942029,0.14285714285714285,0.15789473684210525,0.08,0.08009708737864078,0.1792452830188679,0.14492753623188406,0.14814814814814814,0.13636363636363635,0.08253968253968254,0.1095890410958904,0.0,0.0859375,0.12105263157894737,0.11522633744855967,0.11428571428571428,0.07352941176470588,0.25,0.1411764705882353,0.15492957746478872,0.13245033112582782,0.14634146341463414,0.10328638497652583,0.10431654676258993,0.07446808510638298,0.12568306010928962,0.07806691449814127,0.18518518518518517,0.23076923076923078,0.08361204013377926,0.084,0.09259259259259259,0.07947019867549669,0.056818181818181816,0.04892367906066536,0.1329479768786127,0.13846153846153847,0.07253886010362694,0.0873015873015873,0.14960629921259844,0.043478260869565216,0.10067114093959731,0.12037037037037036,0.1557377049180328,0.17857142857142858,0.12727272727272726,0.061224489795918366,0.0958904109589041,0.07110091743119266,0.09187279151943463,0.09195402298850575,0.09649122807017543,0.0706713780918728,0.04838709677419355,0.13740458015267176,0.25862068965517243,0.07647058823529412,0.09271523178807947,0.14375,0.1,0.1532258064516129,0.08376963350785341,0.12195121951219512,0.1744186046511628,0.13333333333333333,0.15862068965517243,0.15625,0.15873015873015872,0.0755813953488372
DB00252,0.1941031941031941,0.07716049382716049,0.08108108108108109,0.1033434650455927,0.16348773841961853,0.032362459546925564,0.09597523219814241,0.08737864077669903,1.0,0.1729106628242075,0.2440828402366864,0.17696629213483145,0.17754569190600522,0.02857142857142857,0.23185011709601874,0.1775,0.05466237942122187,0.09385113268608414,0.15774647887323945,0.1725067385444744,0.23917995444191345,0.11692307692307692,0.17045454545454544,0.04892966360856269,0.049019607843137254,0.07692307692307693,0.18441558441558442,0.2468354430379747,0.28994082840236685,0.17142857142857143,0.24119241192411925,0.09451219512195122,0.23577235772357724,0.23294117647058823,0.24901960784313726,0.13190184049079753,0.06329113924050633,0.15076923076923077,0.29923664122137406,0.06645569620253164,0.1708542713567839,0.0670926517571885,0.15,0.3433734939759036,0.289738430583501,0.032679738562091505,0.12238805970149254,0.14705882352941177,0.12429378531073447,0.06578947368421052,0.06493506493506493,0.19241192411924118,0.1996615905245347,0.2175,0.1043956043956044,0.16428571428571428,0.14506172839506173,0.17326732673267325,0.2716049382716049,0.09316770186335403,0.14204545454545456,0.05732484076433121,0.09119496855345911,0.3215613382899628,0.1235632183908046,0.06811145510835913,0.0718954248366013,0.07911392405063292,0.29978586723768735,0.084375,0.01597444089456869,0.27102803738317754,0.19154228855721392,0.29086538461538464,0.13440860215053763,0.06269592476489028,0.0914826498422713,0.11009174311926606,0.23563218390804597,0.15608465608465608,0.02622950819672131,0.22195121951219512,0.35141509433962265,0.09880239520958084,0.19796954314720813,0.24663677130044842,0.12893982808022922,0.12422360248447205,0.3169642857142857,0.20134228187919462,0.03503184713375796,0.144,0.2875,0.30194805194805197,0.2125984251968504,0.13114754098360656,0.15647921760391198,0.11019283746556474,0.1671388101983003,0.01948051948051948,0.1497326203208556,0.11527377521613832,0.18658892128279883,0.1536231884057971,0.05466237942122187,0.02912621359223301,0.15447154471544716,0.28822495606326887,0.2665198237885463,0.1875,0.12680115273775217,0.208067940552017,0.03761755485893417,0.1464088397790055,0.07961783439490445,0.2153846153846154,0.13421052631578947,0.25069637883008355,0.2271604938271605,0.1752873563218391,0.19143576826196473,0.18128654970760233,0.09880239520958084,0.11140583554376658,0.19230769230769232,0.12874251497005987,0.0660377358490566,0.1053921568627451
DB00270,0.2543103448275862,0.2222222222222222,0.0784313725490196,0.23529411764705882,0.25405405405405407,0.024793388429752067,0.14388489208633093,0.14634146341463414,0.1729106628242075,1.0,0.15357142857142858,0.28735632183908044,0.20187793427230047,0.032,0.20802919708029197,0.2052401746724891,0.09016393442622951,0.144,0.2934131736526946,0.2631578947368421,0.259927797833935,0.13513513513513514,0.2543352601156069,0.15625,0.125,0.128,0.2669902912621359,0.2375,0.20157068062827224,0.31901840490797545,0.3915343915343915,0.23308270676691728,0.2608695652173913,0.2801556420233463,0.23809523809523808,0.2517985611510791,0.128,0.30656934306569344,0.1369150779896014,0.09230769230769231,0.2783018867924528,0.15833333333333333,0.27325581395348836,0.18796992481203006,0.20540540540540542,0.06140350877192982,0.21476510067114093,0.2913907284768212,0.14689265536723164,0.12173913043478261,0.1271186440677966,0.28272251308900526,0.17620137299771166,0.3094170403587444,0.15,0.18072289156626506,0.24822695035460993,0.19230769230769232,0.14018691588785046,0.16296296296296298,0.29375,0.0703125,0.16923076923076924,0.1889400921658986,0.16666666666666666,0.07142857142857142,0.11764705882352941,0.12307692307692308,0.2153392330383481,0.1968503937007874,0.0,0.29259259259259257,0.17842323651452283,0.26199261992619927,0.15816326530612246,0.14285714285714285,0.11851851851851852,0.14285714285714285,0.327683615819209,0.2736842105263158,0.02608695652173913,0.224,0.23529411764705882,0.25547445255474455,0.30660377358490565,0.15335463258785942,0.34459459459459457,0.18439716312056736,0.18263473053892215,0.24363636363636362,0.09243697478991597,0.2857142857142857,0.1648148148148148,0.15180265654648956,0.2961165048543689,0.1837837837837838,0.33014354066985646,0.19540229885057472,0.3312883435582822,0.08181818181818182,0.26344086021505375,0.2972972972972973,0.3167701863354037,0.20833333333333334,0.08130081300813008,0.05128205128205128,0.27624309392265195,0.18763796909492272,0.314878892733564,0.16721311475409836,0.18072289156626506,0.23841059602649006,0.088,0.29411764705882354,0.16129032258064516,0.24147727272727273,0.16831683168316833,0.3229166666666667,0.19367588932806323,0.18888888888888888,0.22466960352422907,0.25149700598802394,0.14666666666666667,0.17894736842105263,0.22564102564102564,0.2638888888888889,0.09923664122137404,0.16363636363636364
